date,steps
2022-11-19,7367
2022-11-20,3291
2022-11-21,4014
2022-11-22,10629
2022-11-23,13
2022-11-24,4014
2022-11-25,4014
2022-11-26,4014
2022-11-27,3874
2022-11-28,9562
2022-11-29,10201
2022-11-30,5869
2022-12-01,4014
2022-12-02,4014
2022-12-03,4014
2022-12-04,4014
2022-12-05,10353
2022-12-06,11274
2022-12-07,15547
2022-12-08,11505
2022-12-09,11431
2022-12-10,11477
2022-12-11,869
2022-12-12,11022
2022-12-13,8943
2022-12-14,12820
2022-12-15,9769
2022-12-16,5343
2022-12-17,5147
2022-12-18,7167
2022-12-19,8232
2022-12-20,5084
2022-12-21,5057
2022-12-22,2089
2022-12-23,4283
2022-12-24,2476
2022-12-25,3501
2022-12-26,3442
2022-12-27,20767
2022-12-28,12219
2022-12-29,21216
2022-12-30,15526
2022-12-31,3934
2023-01-01,9668
2023-01-02,5598
2023-01-03,9164
2023-01-04,19028
2023-01-05,8653
2023-01-06,3928
2023-01-07,6906
2023-01-08,4025
2023-01-09,13252
2023-01-10,14949
2023-01-11,16507
2023-01-12,9065
2023-01-13,13791
2023-01-14,3503
2023-01-15,10081
2023-01-16,8421
2023-01-17,17466
2023-01-18,13980
2023-01-19,3950
2023-01-20,9326
2023-01-21,5989
2023-01-22,4266
2023-01-23,10470
2023-01-24,14046
2023-01-25,12510
2023-01-26,9280
2023-01-27,10609
2023-01-28,10965
2023-01-29,4731
2023-01-30,14380
2023-01-31,16397
2023-02-01,7830
2023-02-02,9789
2023-02-03,14562
2023-02-04,11444
2023-02-05,8097
2023-02-06,9034
2023-02-07,7704
2023-02-08,13875
2023-02-09,12020
2023-02-10,18436
2023-02-11,12680
2023-02-12,3799
2023-02-13,11894
2023-02-14,8799
2023-02-15,12785
2023-02-16,13522
2023-02-17,9953
2023-02-18,11097
2023-02-19,10164
2023-02-20,10584
2023-02-21,10965
2023-02-22,16790
2023-02-23,7183
2023-02-24,15979
2023-02-25,5830
2023-02-26,13445
2023-02-27,12933
2023-02-28,7123
2023-03-01,13333
2023-03-02,8852
2023-03-03,10262
2023-03-04,6571
2023-03-05,9493
2023-03-06,15535
2023-03-07,9995
2023-03-08,14484
2023-03-09,14025
2023-03-10,11726
2023-03-11,1237
2023-03-12,7271
2023-03-13,4971
2023-03-14,5917
2023-03-15,15770
2023-03-16,14788
2023-03-17,15661
2023-03-18,3409
2023-03-19,6209
2023-03-20,11920
2023-03-21,9647
2023-03-22,12717
2023-03-23,6372
2023-03-24,14374
2023-03-25,13825
2023-03-26,6939
2023-03-27,12556
2023-03-28,9658
2023-03-29,12547
2023-03-30,12396
2023-03-31,10273
2023-04-01,1958
2023-04-02,10340
2023-04-03,13448
2023-04-04,7268
2023-04-05,8750
2023-04-06,10656
2023-04-07,8951
2023-04-08,4498
2023-04-09,3265
2023-04-10,8110
2023-04-11,17515
2023-04-12,15226
2023-04-13,5760
2023-04-14,12333
2023-04-15,9468
2023-04-16,3416
2023-04-17,12930
2023-04-18,10635
2023-04-19,6075
2023-04-20,13450
2023-04-21,11954
2023-04-22,8067
2023-04-23,10093
2023-04-24,13433
2023-04-25,7854
2023-04-26,15414
2023-04-27,12010
2023-04-28,17171
2023-04-29,9085
2023-04-30,83
2023-05-01,9204
2023-05-02,10675
2023-05-03,8262
2023-05-04,6425
2023-05-05,12548
2023-05-06,5915
2023-05-07,7260
2023-05-08,4014
2023-05-09,4253
2023-05-10,2915
2023-05-11,3025
2023-05-12,2349
2023-05-13,4014
2023-05-14,4014
2023-05-15,1425
2023-05-16,4341
2023-05-17,14337
2023-05-18,9266
2023-05-19,10071
2023-05-20,6242
2023-05-21,7929
2023-05-22,4686
2023-05-23,8294
2023-05-24,909
2023-05-25,1840
2023-05-26,16762
2023-05-27,6615
2023-05-28,8089
2023-05-29,11636
2023-05-30,9796
2023-05-31,14907
2023-06-01,14754
2023-06-02,11551
2023-06-03,3040
2023-06-04,4014
2023-06-05,6368
2023-06-06,8363
2023-06-07,6732
2023-06-08,2650
2023-06-09,1520
2023-06-10,4078
2023-06-11,3651
2023-06-12,5198
2023-06-13,7451
2023-06-14,3419
2023-06-15,4014
2023-06-16,4828
2023-06-17,7878
2023-06-18,6101
2023-06-19,1595
2023-06-20,7773
2023-06-21,15476
2023-06-22,7340
2023-06-23,10549
2023-06-24,2296
2023-06-25,6470
2023-06-26,10659
2023-06-27,9056
2023-06-28,4539
2023-06-29,4727
2023-06-30,4737
2023-07-01,9918
2023-07-02,11167
2023-07-03,11822
2023-07-04,15037
2023-07-05,5027
2023-07-06,9998
2023-07-07,11134
2023-07-08,7548
2023-07-09,9874
2023-07-10,5133
2023-07-11,9795
2023-07-12,7236
2023-07-13,6796
2023-07-14,9555
2023-07-15,10043
2023-07-16,9981
2023-07-17,8425
2023-07-18,8592
2023-07-19,9003
2023-07-20,10963
2023-07-21,7574
2023-07-22,9385
2023-07-23,8684
2023-07-24,5791
2023-07-25,9260
2023-07-26,7005
2023-07-27,11690
2023-07-28,9276
2023-07-29,18511
2023-07-30,8147
2023-07-31,11225
2023-08-01,9541
2023-08-02,9746
2023-08-03,11132
2023-08-04,9399
2023-08-05,11296
2023-08-06,8892
2023-08-07,1210
2023-08-08,10724
2023-08-09,9254
2023-08-10,13970
2023-08-11,8924
2023-08-12,15837
2023-08-13,8260
2023-08-14,13064
2023-08-15,11744
2023-08-16,6240
2023-08-17,13836
2023-08-18,3940
2023-08-19,6942
2023-08-20,15543
2023-08-21,8461
2023-08-22,10298
2023-08-23,9929
2023-08-24,10087
2023-08-25,7593
2023-08-26,28505
2023-08-27,4840
2023-08-28,12184
2023-08-29,8012
2023-08-30,6512
2023-08-31,10616
2023-09-01,10282
2023-09-02,9801
2023-09-03,18704
2023-09-04,17066
2023-09-05,10152
2023-09-06,8506
2023-09-07,8617
2023-09-08,9790
2023-09-09,16639
2023-09-10,7720
2023-09-11,5734
2023-09-12,10003
2023-09-13,11967
2023-09-14,10957
2023-09-15,12610
2023-09-16,24890
2023-09-17,9025
2023-09-18,10236
2023-09-19,9132
2023-09-20,12630
2023-09-21,9983
2023-09-22,4014
2023-09-23,11181
2023-09-24,10193
2023-09-25,9672
2023-09-26,8081
2023-09-27,10504
2023-09-28,10581
2023-09-29,11106
2023-09-30,15102
2023-10-01,11319
2023-10-02,11130
2023-10-03,15280
2023-10-04,9677
2023-10-05,4703
2023-10-06,10151
2023-10-07,20330
2023-10-08,15094
2023-10-09,9920
2023-10-10,8718
2023-10-11,13845
2023-10-12,9630
2023-10-13,8159
2023-10-14,18887
2023-10-15,19173
2023-10-16,7395
2023-10-17,12158
2023-10-18,12414
2023-10-19,7957
2023-10-20,6570
2023-10-21,17112
2023-10-22,13396
2023-10-23,5269
2023-10-24,8867
2023-10-25,8402
2023-10-26,10856
2023-10-27,6261
2023-10-28,8794
2023-10-29,10787
2023-10-30,9198
2023-10-31,10475
2023-11-01,12077
2023-11-02,8870
2023-11-03,7680
2023-11-04,11192
2023-11-05,5874
2023-11-06,5031
2023-11-07,9108
2023-11-08,9388
2023-11-09,7009
2023-11-10,5491
2023-11-11,17555
2023-11-12,10505
2023-11-13,6137
2023-11-14,8777
2023-11-15,6287
2023-11-16,7267
2023-11-17,8998
2023-11-18,10792
2023-11-19,12254
2023-11-20,7825
2023-11-21,6301
2023-11-22,8084
2023-11-23,9299
2023-11-24,3658
2023-11-25,10631
2023-11-26,2557
2023-11-27,4917
2023-11-28,8847
2023-11-29,9280
2023-11-30,8721
2023-12-01,5294
2023-12-02,11890
2023-12-03,10822
2023-12-04,6495
2023-12-05,9433
2023-12-06,9657
2023-12-07,11943
2023-12-08,12709
2023-12-09,12913
2023-12-10,8488
2023-12-11,11407
2023-12-12,9632
2023-12-13,8688
2023-12-14,6954
2023-12-15,9488
2023-12-16,12181
2023-12-17,10479
2023-12-18,10547
2023-12-19,8438
2023-12-20,12959
2023-12-21,8689
2023-12-22,1946
2023-12-23,1859
2023-12-24,4794
2023-12-25,4014
2023-12-26,2443
2023-12-27,2829
2023-12-28,2938
2023-12-29,7007
2023-12-30,10257
2023-12-31,15982
2024-01-01,849
2024-01-02,2627
2024-01-03,7995
2024-01-04,7338
2024-01-05,7488
2024-01-06,7877
2024-01-07,16297
2024-01-08,4014
2024-01-09,7659
2024-01-10,6715
2024-01-11,8383
2024-01-12,4496
2024-01-13,9170
2024-01-14,2039
2024-01-15,6596
2024-01-16,9643
2024-01-17,10440
2024-01-18,6702
2024-01-19,3622
2024-01-20,8957
2024-01-21,10011
2024-01-22,6059
2024-01-23,8318
2024-01-24,9813
2024-01-25,7351
2024-01-26,5270
2024-01-27,16253
2024-01-28,8016
2024-01-29,6088
2024-01-30,9385
2024-01-31,6169
2024-02-01,5472
2024-02-02,8012
2024-02-03,1476
2024-02-04,5361
2024-02-05,7713
2024-02-06,8595
2024-02-07,11624
2024-02-08,6239
2024-02-09,12264
2024-02-10,6593
2024-02-11,9445
2024-02-12,7641
2024-02-13,9224
2024-02-14,10884
2024-02-15,7526
2024-02-16,2836
2024-02-17,6379
2024-02-18,7224
2024-02-19,10470
2024-02-20,8296
2024-02-21,9657
2024-02-22,8210
2024-02-23,3997
2024-02-24,8497
2024-02-25,9315
2024-02-26,8054
2024-02-27,7443
2024-02-28,9208
2024-02-29,7068
2024-03-01,8695
2024-03-02,8131
2024-03-03,3664
2024-03-04,7545
2024-03-05,8028
2024-03-06,9395
2024-03-07,5588
2024-03-08,6833
2024-03-09,14507
2024-03-10,12035
2024-03-11,10304
2024-03-12,7847
2024-03-13,6158
2024-03-14,7560
2024-03-15,8124
2024-03-16,8466
2024-03-17,5024
2024-03-18,8691
2024-03-19,8423
2024-03-20,9788
2024-03-21,7108
2024-03-22,8757
2024-03-23,7741
2024-03-24,9814
2024-03-25,4014
